gene_id	name	category	description
0	Vocal Register	vocals	This gene describes the vocal register, or note range, of the lead vocal performance, on a scale from low to high.  For reference, scores in the middle range indicate an average register, which for a male voice is somewhere between A below middle C, and E above middle C, and for a female voice, approximately a fourth higher.
1	Vocal Timbre Thin to Full	vocals	This gene expresses the timbre of the vocal performance from Thin, slight or weak in fundamental or root pitch and markedly wispy (Olivia Newton-John, Margot Timmins) to Full, strong in fundamental pitch and markedly full and resonant (Aretha Franklin, Josh Groban)
2	Vocal Breathiness	vocals	This gene indicates a how Breathy a lead vocal performance is.  Breathiness is the presence of aspiration (breath) in the vocal delivery accompanied by a general "lightness" or "airiness" in the voice. (Ex. Hope Sandoval of Mazzy Star, Mariah Carey, Nick Drake)
3	Vocal Smoothness	vocals	This gene indicates a how Smooth a lead vocal performance is.  Smoothness is the absence (or near-absence) of roughness or raspiness in the vocal delivery, yielding some quality of roundness or sweetness. (Ex. Sade, Natalie Cole, James Taylor and Mel Tormé)
4	Vocal Grittiness	vocals	This gene indicates a how Gritty a lead vocal performance is.  Grittiness is the presence of roughness or raspiness in the vocal delivery, yielding some quality of harshness or "dirtiness." (Ex. Tom Waits, Joe Cocker, Janis Joplin)
5	Vocal Nasality	vocals	This gene indicates a how Nasal a lead vocal performance is.  Nasality is the presence of a pinched or "plugged-up" quality in the vocal delivery – particularly noticeable in the "nasal" consonants (n, m, d). (Ex. Bob Dylan, Joe Walsh, Reba McEntire)
6	Vocal Accompaniment	vocals	This gene indicates the level of dominance of Accompaniment vocals in a track and includes any vocal activity that is not in a lead role.
7	Minor / Major Key Tonality	harmony	This gene indicates the harmonic tonality on a scale of minor to major.  The lowest scores indicate a minor tonality throughout, the highest scores indicate a major tonality throughout, and scores in the middle indicate ambiguity in tonality, either because both are present in the song, or because the music doesn't fall clearly in either category.
8	Harmonic Sophistication	harmony	This gene captures the level of complexity present in a track’s harmony. Annotators perform a harmonic analysis to determine what chords are present in the song, then apply a pre-determined rubric to assign a score on our scale. The lowest score indicates no more than a tonic, subdominant and dominant chord (ie, I, IV, V). Moving up the scale, we include additional diatonic chords (e.g. ii, iii, vi), then secondary dominant chords, then other non-diatonic chords, on up to extreme chromaticism.
9	Tempo	rhythm	This gene describes the basic tempo (i.e. beats per minute) of the song.  While this essentially describes how slow or fast a song is, it is important to note that other factors besides tempo affect how slow or fast a song feels.  For example, more sparse subdivisions in the drums and percussion, or a "cut time" feel can make a song feel slower than the tempo might suggest.
10	Cut Time Feel	rhythm	This gene indicates the presence and degree of dominance of a "cut time" rhythmic feel, in which four beat measures are felt in a half time, ie, a "two" feel, usually due to the bass instrument playing only on beats 1 and 3.
11	Triple Meter	rhythm	This gene indicates the presence and degree of dominance of a triple meter, ie, 3 beat groupings, the most common of which is 3/4.
12	Compound Meter	rhythm	This gene indicates the presence and degree of dominance of a compound meter, most commonly either 6/8 or 12/8.  This meter is distinctive for its combination of a triple meter with a duple meter (ie, 2 or 4).  For instance, 12/8 is counted in 4 beat groupings, but each of the four beats is subdivided into 3.  6/8 is counted in 2 beat groupings, with each beat subdivided into 3.
13	Odd Meter	rhythm	This gene indicates the presence and degree of dominance of an "odd" meter.  The most common odd meters are groups of 5 or 7, but other more complex beat groupings are possible.
14	Swing Feel	rhythm	This gene indicates the amount of swing feel in the song.  By "swing feel" we mean an uneven 8th note rhythmic feel common in many genres, especially jazz, in which the first 8th note is slightly longer in duration than the second.
